Product Name,Price,Description,Reviews,Image Links,Details,Logo
Motorola Edge 50 Fusion,"₹21,999","Dual Sim, 3G, 4G, 5G, VoLTE, Vo5G, Wi-Fi, NFC | Snapdragon 7s Gen2, Octa Core, 2.4 GHz Processor | 8 GB RAM, 128 GB inbuilt | 5000 mAh Battery with 68W Fast Charging | 6.67 inches, 1080 x 2400 px, 144 Hz Display with Punch Hole | 50 MP + 13 MP Dual Rear & 32 MP Front Camera | Memory Card Not Supported | Android v14",unavailable,https://cdn1.smartprix.com/rx-iiINHoq7T-w280-h280/motorola-edge-50-fus.webp,https://l.smartprix.com/l?k=12eB0idvOKaCG-sSNCesvm.khrhAgTYBOr3Uh7nsUs3sTrcaiWac4PcgCFh3cgs3aFUc6TCac5oXcW6h-hDh8ZorrP5i6Pia6ghmBYihkpkR7_zf.p-VX47x7hrhhaFhrhrhhacBrWahrhrBi5tiaXGiW4hrFB5q6nmtpogut9p,https://cdn1.smartprix.com/rx-i1jV84HS1-w32-h32/flipkart.webp
Motorola Moto G64 5G (12GB RAM + 256GB),"₹14,999","Dual Sim, 3G, 4G, 5G, VoLTE, Vo5G, Wi-Fi | Dimensity 7025, Octa Core, 2.5 GHz Processor | 12 GB RAM, 256 GB inbuilt | 6000 mAh Battery with 33W Fast Charging | 6.5 inches, 1080 x 2400 px, 120 Hz Display with Punch Hole | 50 MP + 8 MP Dual Rear & 16 MP Front Camera | Memory Card (Hybrid), upto 1 TB | Android v14",unavailable,https://cdn1.smartprix.com/rx-iQT9XiH1v-w280-h280/motorola-moto-g64-5g.webp,https://l.smartprix.com/l?k=12eB0idvOKaBrdeUrwQSf.-mhrhAgTYBOr3Uh7nsUs3sTrcWbHc4WcYAacTYTrAco4bcW6h-hDh85igH4PgPZ4olohmBYihkpkR7fo-E77-.-~dVhrhhaFhrhrhhacBrWahrhrBi5TbNnIQ48hrFB5J5ku6SH.BVz8,https://cdn1.smartprix.com/rx-i1jV84HS1-w32-h32/flipkart.webp
Vivo V40 5G,"₹32,570","Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi | Snapdragon 7 Gen3, Octa Core, 2.63 GHz Processor | 8 GB RAM, 128 GB inbuilt | 5500 mAh Battery with 80W Fast Charging | 6.78 inches, 1260 x 2800 px, 120 Hz Display with Punch Hole | 50 MP + 50 MP Dual Rear & 50 MP Front Camera | Memory Card Not Supported | Android v14",unavailable,https://cdn1.smartprix.com/rx-isczhx4oO-w280-h280/vivo-v40-5g.webp,https://l.smartprix.com/l?k=12boV_~VxWZxlGOgRwOAPNmfbhrhArnrysuhyihDRPKw7mxSKvh-hrhhaFhrhrhhacBrWahrhrBi5n5F5n2WyhrFB5vgBOKg~W.nVV,https://cdn1.smartprix.com/rx-iR2NxBi82-w32-h32/amazon.webp
Motorola Moto G85 5G,"₹16,999","Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi | Snapdragon 6s Gen3, Octa Core, 2.3 GHz Processor | 8 GB RAM, 128 GB inbuilt | 5000 mAh Battery with 33W Fast Charging | 6.67 inches, 1080 x 2400 px, 120 Hz Display with Punch Hole | 50 MP + 8 MP Dual Rear & 32 MP Front Camera | Memory Card Not Supported | Android v14",unavailable,https://cdn1.smartprix.com/rx-ikiJa9UcB-w280-h280/motorola-moto-g85-5g.webp,https://l.smartprix.com/l?k=12eB0idvOKaNE.XdqO7z.m07hrhAgTYBOr3Uh7nsUs3sTrcWX4c4Wc2Y2rcnrWauUrc5oXcW6h-hDh8abGAAlX4GHrGghmBYihkpkRSZ4.~x70-x-ZJhrhhaFhrhrhhacBrWahrhrBi5rU8gUAbFhrFB5-oYgZtss2jxo,https://cdn1.smartprix.com/rx-i1jV84HS1-w32-h32/flipkart.webp
Samsung Galaxy A16 5G,"₹18,999","Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi, NFC | Exynos 1330, Octa Core, 2.4 GHz Processor | 8 GB RAM, 128 GB inbuilt | 5000 mAh Battery with 25W Fast Charging | 6.7 inches, 1080 x 2340 px, 90 Hz Display with Water Drop Notch | 50 MP + 5 MP + 2 MP Triple Rear & 13 MP Front Camera | Memory Card (Hybrid), upto 1.5 TB | Android v14",unavailable,https://cdn1.smartprix.com/rx-ikU4gxYRz-w280-h280/samsung-galaxy-a16-5.webp,https://l.smartprix.com/l?k=1257dq4dsjI~D..6TKyDZt5BVphrhAFrnFCuWh7Yuh-Fnr3UhOFh-WrTrDIcrh-WrTrDIcr5bc4Wc6TCachnc5oXW6cFncr5bbByOtYuFh-hrhhaFhrhrhhacBrWahrhrBi5F4urIOInhrFB5WGzAQKbiClSr,https://cdn1.smartprix.com/rx-ircJXXuPY-w32-h32/samsung.webp
Xiaomi Redmi Note 13 Pro 5G,"₹18,920","Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi, IR Blaster | Snapdragon 7s Gen 2, Octa Core, 2.4 GHz Processor | 8 GB RAM, 128 GB inbuilt | 5100 mAh Battery with 67W Fast Charging | 6.67 inches, 1220 x 2712 px, 120 Hz Display with Punch Hole | 200 MP + 8 MP + 2 MP Triple Rear & 16 MP Front Camera | Android v13 | No FM Radio",unavailable,https://cdn1.smartprix.com/rx-iG0eh46lf-w280-h280/xiaomi-redmi-note-13.webp,https://l.smartprix.com/l?k=12eB0ieW8vukdBlNCoAzf_7XhrhAgTYBOr3Uh7hBnYcusUac5ZcB3sc4Wcr3AUYAchhgc5oXcW6h-hDh8GbaobbXgg46HihmBYihkpkR7.xl17qjbqxpqhrhhaFhrhrhhacBrWahrhrBi5ntQbI4PBhrFB5NzNPxCxd5lSS,https://cdn1.smartprix.com/rx-i1jV84HS1-w32-h32/flipkart.webp
Motorola Moto G45 5G,"₹9,999","Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi | Snapdragon 6s Gen3, Octa Core, 2.3 GHz Processor | 4 GB RAM, 128 GB inbuilt | 5000 mAh Battery with 20W Fast Charging | 6.5 inches, 720 x 1600 px, 120 Hz Display with Punch Hole | 50 MP + 2 MP Dual Rear & 16 MP Front Camera | Memory Card (Hybrid), upto 1 TB | Android v14",unavailable,https://cdn1.smartprix.com/rx-ik0VBNJ9z-w280-h280/motorola-moto-g45-5g.webp,https://l.smartprix.com/l?k=12j.T2pC15YxTfCvGoI44S7hrhAgTYBOr3Uh7nsUs3sTrcWH4c4Wc63YTTYruUc6TCac5oXcW6h-hDh8boAAiHZ5Ala4ahmBYihkpkRSZfV~~K..oJ.ShrhhaFhrhrhhacBrWahrhrBi5HbZPTUQNhrFB5aflnWIP6IHOu,https://cdn1.smartprix.com/rx-i1jV84HS1-w32-h32/flipkart.webp
Xiaomi Redmi Note 13 5G,"₹14,097","Dual Sim, 3G, 4G, 5G, VoLTE, Vo5G, Wi-Fi, IR Blaster | Dimensity 6080, Octa Core, 2.4 GHz Processor | 6 GB RAM, 128 GB inbuilt | 5000 mAh Battery with 33W Fast Charging | 6.67 inches, 1080 x 2400 px, 120 Hz Display with Punch Hole | 108 MP + 8 MP + 2 MP Triple Rear & 16 MP Front Camera | Memory Card Supported, upto 1 TB | Android v13",unavailable,https://cdn1.smartprix.com/rx-ivCJW3bce-w280-h280/xiaomi-redmi-note-13.webp,https://l.smartprix.com/l?k=12eB0ieW8vupSxiwpBkk4WOWhrhAgTYBOr3Uh7hBnYcusUac5Zc4Wcr3AUYAchhgc5oXcW6h-hDh8XoHG4aPGZa6oahmBYihkpkR7_fJ_q-pJ.fEvhrhhaFhrhrhhacBrWahrhrBi5IHIy3QbFhrFB51Z9KzWVKU~wl,https://cdn1.smartprix.com/rx-i1jV84HS1-w32-h32/flipkart.webp
Vivo V40e 5G,"₹26,930","Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi | Dimensity 7300, Octa Core, 2.5 GHz Processor | 8 GB RAM, 128 GB inbuilt | 5500 mAh Battery with 80W Fast Charging | 6.77 inches, 1080 x 2392 px, 120 Hz Display with Punch Hole | 50 MP + 8 MP Dual Rear & 50 MP Front Camera | Android v14 | No FM Radio",unavailable,https://cdn1.smartprix.com/rx-i5BAsqw1G-w280-h280/vivo-v40e-5g.webp,https://l.smartprix.com/l?k=12boV_~VxWZx4jFF9yFEjkl48hrhArnrysuhyihDRPK-RzlRlbh-hrhhaFhrhrhhacBrWahrhrBi5U5UQbaoahrFB51uaJVp_OP.y8,https://cdn1.smartprix.com/rx-iR2NxBi82-w32-h32/amazon.webp
OnePlus Nord CE 4 5G,"₹23,188","Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi | Snapdragon 7 Gen3, Octa Core, 2.63 GHz Processor | 8 GB RAM, 128 GB inbuilt | 5500 mAh Battery with 100W Fast Charging | 6.7 inches, 1080 x 2412 px, 120 Hz Display with Punch Hole | 50 MP + 8 MP Dual Rear & 16 MP Front Camera | Memory Card (Hybrid), upto 1 TB | Android v14",unavailable,https://cdn1.smartprix.com/rx-idJisQXHN-w280-h280/oneplus-nord-ce-4-5g.webp,https://l.smartprix.com/l?k=12eB0idvOKaCOozCd~HoP9_uhrhAgTYBOr3Uh7hFBTCFcus3icAaHcir3OcAt3snac5oXcW6h-hDh84rPlPXl55Hrg6hmBYihkpkR7.dSb~EE0.7.dhrhhaFhrhrhhacBrWahrhrBi5rIgBo3iXhrFB5Tk-H7.ob8N1B,https://cdn1.smartprix.com/rx-i1jV84HS1-w32-h32/flipkart.webp
Samsung Galaxy M35 5G,"₹16,887","Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi, NFC | Exynos 1380, Octa Core, 2.4 GHz Processor | 6 GB RAM, 128 GB inbuilt | 6000 mAh Battery with 25W Fast Charging | 6.6 inches, 1080 x 2340 px, 120 Hz Display with Punch Hole | 50 MP + 8 MP + 2 MP Triple Rear & 13 MP Front Camera | Memory Card (Hybrid), upto 1 TB | Android v14",unavailable,https://cdn1.smartprix.com/rx-iRcrTcRoj-w280-h280/samsung-galaxy-m35-5.webp,https://l.smartprix.com/l?k=12eB0idvO2~eW_XYtTxUHf6_hrhAgTYBOr3Uh7FrnFCuWcWrTrDIcnZ4c4WcirI63arOc6TCac5oXcW6h-hDh85r4ZaXg45l5i6hmBYihkpkRSofGSVwfKqSx.hrhhaFhrhrhhacBrWahrhrBi5CX2gsNZahrFB5~qo-x9CiiHiI,https://cdn1.smartprix.com/rx-i1jV84HS1-w32-h32/flipkart.webp
